dataset,perturbation_type,severity,model_a,model_b,statistic,p_value,significant
sst2,clean,N/A,LR,NBOW,5.7853,0.0162,True
sst2,clean,N/A,LR,DistilBERT,60.3141,0.0,True
sst2,clean,N/A,NBOW,DistilBERT,89.418,0.0,True
sst2,punct_removal,N/A,LR,NBOW,2.1488,0.1427,False
sst2,punct_removal,N/A,LR,DistilBERT,52.1024,0.0,True
sst2,punct_removal,N/A,NBOW,DistilBERT,71.736,0.0,True
sst2,spelling_errors,0.1,LR,NBOW,5.1667,0.023,True
sst2,spelling_errors,0.1,LR,DistilBERT,45.8225,0.0,True
sst2,spelling_errors,0.1,NBOW,DistilBERT,73.8462,0.0,True
sst2,spelling_errors,0.3,LR,NBOW,10.2273,0.0014,True
sst2,spelling_errors,0.3,LR,DistilBERT,8.3218,0.0039,True
sst2,spelling_errors,0.3,NBOW,DistilBERT,31.8025,0.0,True
sst2,spelling_errors,0.5,LR,NBOW,2.3,0.1294,False
sst2,spelling_errors,0.5,LR,DistilBERT,2.2412,0.1344,False
sst2,spelling_errors,0.5,NBOW,DistilBERT,8.8958,0.0029,True
sst2,word_deletion,0.1,LR,NBOW,8.3468,0.0039,True
sst2,word_deletion,0.1,LR,DistilBERT,43.6013,0.0,True
sst2,word_deletion,0.1,NBOW,DistilBERT,79.5936,0.0,True
sst2,word_deletion,0.3,LR,NBOW,9.9379,0.0016,True
sst2,word_deletion,0.3,LR,DistilBERT,23.297,0.0,True
sst2,word_deletion,0.3,NBOW,DistilBERT,54.6856,0.0,True
sst2,word_deletion,0.5,LR,NBOW,8.1509,0.0043,True
sst2,word_deletion,0.5,LR,DistilBERT,23.625,0.0,True
sst2,word_deletion,0.5,NBOW,DistilBERT,50.7614,0.0,True
sst2,word_order,0.1,LR,NBOW,4.7247,0.0297,True
sst2,word_order,0.1,LR,DistilBERT,42.0061,0.0,True
sst2,word_order,0.1,NBOW,DistilBERT,67.9202,0.0,True
sst2,word_order,0.3,LR,NBOW,12.1988,0.0005,True
sst2,word_order,0.3,LR,DistilBERT,23.2,0.0,True
sst2,word_order,0.3,NBOW,DistilBERT,63.2515,0.0,True
sst2,word_order,0.5,LR,NBOW,13.9636,0.0002,True
sst2,word_order,0.5,LR,DistilBERT,12.6536,0.0004,True
sst2,word_order,0.5,NBOW,DistilBERT,48.05,0.0,True
sst2,punct_plus_spelling,0.1,LR,NBOW,9.0536,0.0026,True
sst2,punct_plus_spelling,0.1,LR,DistilBERT,28.0242,0.0,True
sst2,punct_plus_spelling,0.1,NBOW,DistilBERT,63.0486,0.0,True
sst2,punct_plus_spelling,0.3,LR,NBOW,1.2488,0.2638,False
sst2,punct_plus_spelling,0.3,LR,DistilBERT,4.4335,0.0352,True
sst2,punct_plus_spelling,0.3,NBOW,DistilBERT,10.0409,0.0015,True
sst2,punct_plus_spelling,0.5,LR,NBOW,4.5375,0.0332,True
sst2,punct_plus_spelling,0.5,LR,DistilBERT,0.65,0.4201,False
sst2,punct_plus_spelling,0.5,NBOW,DistilBERT,1.5168,0.2181,False
sst2,deletion_plus_order,0.1,LR,NBOW,6.3314,0.0119,True
sst2,deletion_plus_order,0.1,LR,DistilBERT,24.4841,0.0,True
sst2,deletion_plus_order,0.1,NBOW,DistilBERT,50.9171,0.0,True
sst2,deletion_plus_order,0.3,LR,NBOW,9.1975,0.0024,True
sst2,deletion_plus_order,0.3,LR,DistilBERT,15.4514,0.0001,True
sst2,deletion_plus_order,0.3,NBOW,DistilBERT,40.199,0.0,True
sst2,deletion_plus_order,0.5,LR,NBOW,6.5602,0.0104,True
sst2,deletion_plus_order,0.5,LR,DistilBERT,14.135,0.0002,True
sst2,deletion_plus_order,0.5,NBOW,DistilBERT,36.3459,0.0,True
sst2,spelling_plus_deletion,0.1,LR,NBOW,9.2363,0.0024,True
sst2,spelling_plus_deletion,0.1,LR,DistilBERT,39.5,0.0,True
sst2,spelling_plus_deletion,0.1,NBOW,DistilBERT,67.7824,0.0,True
sst2,spelling_plus_deletion,0.3,LR,NBOW,7.5117,0.0061,True
sst2,spelling_plus_deletion,0.3,LR,DistilBERT,0.6128,0.4337,False
sst2,spelling_plus_deletion,0.3,NBOW,DistilBERT,12.3202,0.0004,True
sst2,spelling_plus_deletion,0.5,LR,NBOW,9.5057,0.002,True
sst2,spelling_plus_deletion,0.5,LR,DistilBERT,1.6531,0.1985,False
sst2,spelling_plus_deletion,0.5,NBOW,DistilBERT,2.59,0.1075,False
sst2,all_combined,0.1,LR,NBOW,4.6391,0.0313,True
sst2,all_combined,0.1,LR,DistilBERT,12.1905,0.0005,True
sst2,all_combined,0.1,NBOW,DistilBERT,31.5372,0.0,True
sst2,all_combined,0.3,LR,NBOW,7.6409,0.0057,True
sst2,all_combined,0.3,LR,DistilBERT,0.1,0.7518,False
sst2,all_combined,0.3,NBOW,DistilBERT,5.1042,0.0239,True
sst2,all_combined,0.5,LR,NBOW,1.6598,0.1976,False
sst2,all_combined,0.5,LR,DistilBERT,4.0374,0.0445,True
sst2,all_combined,0.5,NBOW,DistilBERT,0.9073,0.3408,False
imdb,clean,N/A,LR,NBOW,23.2692,0.0,True
imdb,clean,N/A,LR,DistilBERT,4.712,0.03,True
imdb,clean,N/A,NBOW,DistilBERT,30.6888,0.0,True
imdb,punct_removal,N/A,LR,NBOW,18.4692,0.0,True
imdb,punct_removal,N/A,LR,DistilBERT,14.9483,0.0001,True
imdb,punct_removal,N/A,NBOW,DistilBERT,47.6682,0.0,True
imdb,spelling_errors,0.1,LR,NBOW,20.1103,0.0,True
imdb,spelling_errors,0.1,LR,DistilBERT,3.694,0.0546,False
imdb,spelling_errors,0.1,NBOW,DistilBERT,30.375,0.0,True
imdb,spelling_errors,0.3,LR,NBOW,64.689,0.0,True
imdb,spelling_errors,0.3,LR,DistilBERT,4.205,0.0403,True
imdb,spelling_errors,0.3,NBOW,DistilBERT,24.2227,0.0,True
imdb,spelling_errors,0.5,LR,NBOW,109.7561,0.0,True
imdb,spelling_errors,0.5,LR,DistilBERT,23.6263,0.0,True
imdb,spelling_errors,0.5,NBOW,DistilBERT,37.5642,0.0,True
imdb,word_deletion,0.1,LR,NBOW,35.0069,0.0,True
imdb,word_deletion,0.1,LR,DistilBERT,3.0756,0.0795,False
imdb,word_deletion,0.1,NBOW,DistilBERT,39.2391,0.0,True
imdb,word_deletion,0.3,LR,NBOW,28.8341,0.0,True
imdb,word_deletion,0.3,LR,DistilBERT,2.9693,0.0849,False
imdb,word_deletion,0.3,NBOW,DistilBERT,45.9505,0.0,True
imdb,word_deletion,0.5,LR,NBOW,26.3744,0.0,True
imdb,word_deletion,0.5,LR,DistilBERT,3.858,0.0495,True
imdb,word_deletion,0.5,NBOW,DistilBERT,46.6547,0.0,True
imdb,word_order,0.1,LR,NBOW,21.9453,0.0,True
imdb,word_order,0.1,LR,DistilBERT,3.7969,0.0513,False
imdb,word_order,0.1,NBOW,DistilBERT,28.2802,0.0,True
imdb,word_order,0.3,LR,NBOW,14.6746,0.0001,True
imdb,word_order,0.3,LR,DistilBERT,11.25,0.0008,True
imdb,word_order,0.3,NBOW,DistilBERT,35.3616,0.0,True
imdb,word_order,0.5,LR,NBOW,14.8897,0.0001,True
imdb,word_order,0.5,LR,DistilBERT,8.7414,0.0031,True
imdb,word_order,0.5,NBOW,DistilBERT,35.0728,0.0,True
imdb,punct_plus_spelling,0.1,LR,NBOW,36.2517,0.0,True
imdb,punct_plus_spelling,0.1,LR,DistilBERT,0.565,0.4523,False
imdb,punct_plus_spelling,0.1,NBOW,DistilBERT,32.8048,0.0,True
imdb,punct_plus_spelling,0.3,LR,NBOW,57.9623,0.0,True
imdb,punct_plus_spelling,0.3,LR,DistilBERT,4.3799,0.0364,True
imdb,punct_plus_spelling,0.3,NBOW,DistilBERT,25.7989,0.0,True
imdb,punct_plus_spelling,0.5,LR,NBOW,93.7799,0.0,True
imdb,punct_plus_spelling,0.5,LR,DistilBERT,48.6407,0.0,True
imdb,punct_plus_spelling,0.5,NBOW,DistilBERT,7.7786,0.0053,True
imdb,deletion_plus_order,0.1,LR,NBOW,33.4452,0.0,True
imdb,deletion_plus_order,0.1,LR,DistilBERT,3.6765,0.0552,False
imdb,deletion_plus_order,0.1,NBOW,DistilBERT,41.5758,0.0,True
imdb,deletion_plus_order,0.3,LR,NBOW,29.7674,0.0,True
imdb,deletion_plus_order,0.3,LR,DistilBERT,0.0252,0.874,False
imdb,deletion_plus_order,0.3,NBOW,DistilBERT,29.645,0.0,True
imdb,deletion_plus_order,0.5,LR,NBOW,24.5561,0.0,True
imdb,deletion_plus_order,0.5,LR,DistilBERT,0.0511,0.8211,False
imdb,deletion_plus_order,0.5,NBOW,DistilBERT,29.9704,0.0,True
imdb,spelling_plus_deletion,0.1,LR,NBOW,30.4348,0.0,True
imdb,spelling_plus_deletion,0.1,LR,DistilBERT,0.9185,0.3379,False
imdb,spelling_plus_deletion,0.1,NBOW,DistilBERT,30.0255,0.0,True
